8,-1,-1,-1
2,9,-1,-1
1,10,-1,-1
4,11,-1,-1
3,5,12,-1
4,6,-1,-1
5,7,-1,-1
6,15,-1,-1
0,16,-1,-1
1,17,-1,-1
2,18,-1,-1
3,19,-1,-1
4,-1,-1,-1
14,-1,-1,-1
13,15,-1,-1
7,14,-1,-1
8,24,-1,-1
9,25,-1,-1
10,-1,-1,-1
11,20,27,-1
19,21,-1,-1
20,22,29,-1
21,23,-1,-1
22,31,-1,-1
16,25,32,-1
17,24,26,-1
25,27,-1,-1
19,26,-1,-1
36,-1,-1,-1
21,30,-1,-1
29,38,-1,-1
23,39,-1,-1
24,33,40,-1
32,41,-1,-1
35,42,-1,-1
34,36,-1,-1
28,35,37,-1
36,45,-1,-1
30,-1,-1,-1
31,-1,-1,-1
32,48,-1,-1
33,49,-1,-1
34,50,-1,-1
44,51,-1,-1
43,-1,-1,-1
37,46,-1,-1
45,47,-1,-1
46,55,-1,-1
40,56,-1,-1
41,50,-1,-1
42,49,-1,-1
43,52,-1,-1
51,53,-1,-1
52,61,-1,-1
55,62,-1,-1
47,54,-1,-1
48,57,-1,-1
56,58,-1,-1
57,59,-1,-1
58,60,-1,-1
59,61,-1,-1
53,60,-1,-1
54,63,-1,-1
62,-1,-1,-1
